overall,verified,reviewTime,reviewerID,asin,reviewerName,reviewText,summary,unixReviewTime,vote,style,image
1.0,True,"12 27, 2015",A3974P9DBFTNOQ,B003VUO6H4,kpy product reviews,The 2nd controller is broken,One Star,1451174400,,,
1.0,True,"04 10, 2015",A3EDA9ERDZR5B1,B00B2K0C8M,Eener,Didn't work.,Didn't work.,1428624000,,,
1.0,True,"04 10, 2015",A3U43NTM1JK964,B00I19TXQE,Raynaldo Ramos,Terrible game.,One Star,1428624000,,{'Format:': ' Video Game'},
1.0,False,"03 21, 2010",A35QN6XQDKHBZA,B001NX6GBK,Chris,Just go rent God of war if hack and slash is your thing. This is a pathetic game.,Save your money,1269129600,4,{'Platform:': ' PlayStation 3'},
1.0,False,"03 6, 2009",A3FJYXIPK3Z0FE,B001E2I4H4,R. S. Young,"An internet connection is required to play this game.  Unfortunately, my computer doesn't have one.  I got to play it for one day.  I hope Amazon starts listing 'Internet Connection Required' in the minimum requirements for these games.  My last game, spore, was the same way, no warning that an internet connection was required.  I now have $100 worth of coasters for under my cups.",Internet Connection Required,1236297600,10,"{'Edition:': ' Standard', 'Platform:': ' PC'}",
1.0,False,"08 10, 2016",A2RM45PK0FG60V,B018VAEXD0,Chad,"<div id=""video-block-R17TI1S26RPFHX"" class=""a-section a-spacing-small a-spacing-top-mini video-block""></div><input type=""hidden"" name="""" value=""https://images-na.ssl-images-amazon.com/images/I/81zePztS89S.mp4"" class=""video-url""><input type=""hidden"" name="""" value=""https://images-na.ssl-images-amazon.com/images/I/91MurRRHpoS.png"" class=""video-slate-img-url"">&nbsp;Cons:
- Poorly made
- Lightweight, slippery plastic
- No clips
- Only gravity and your fingers keep the 3DS mounted.

Pro:
- Marginally more comfortable

Follow up: MYLIFEUNIT harassed me for this review on my cell phone. Here is a bonus video showing how terrible their product is.",Extremely Low Quality,1470787200,13,,
1.0,True,"01 24, 2015",A13LSZET9RN2TO,B008FVRP0O,HenryGuy &amp;amp;#34;Quality Gamer&amp;amp;#34;,"Bought it for my friend who has a Mac so we could play together, unfortunately it's kind of hidden that you can only play with people on other Mac's!

Never really heard about a lot of PC games (yes a MAC is a PC) that are separated by OS but apparently this is one of them.

Also, my friend who plays League of Legends on medium-high just fine said he had trouble getting the game to run at anything but a crawl. Seems a little odd to me because my Windows system can run League of Legends on max all (one setting below medium high) and can max out Black Ops... weird... I'd shoot for higher specs than minimum and maybe recommended.",Do not buy to play with your friends on another Operating System.,1422057600,,,
1.0,True,"01 27, 2016",A1ZHQBJ9GKLQUV,B00R9NWEFK,sly5789,Man EA really messed up the controls on this one and the overviews.  I love every one of the Tiger Woods one but this one just didn't have the same game play and settings as the older tiger woods.  No fly over camera view.,Very disappointed,1453852800,,{'Format:': ' CD-ROM'},
1.0,True,"12 5, 2011",A2QGTXLC93BRV9,B004JHJHCC,Steven S,"This game was fairly disappointing for one big reason. I am not a graphic aficionado by any means but the graphics in this game (especially considering it's a 360 game) regardless of whether its a port over or not are so ridiculously bad it's hard to even want to play this game. I played it all the way through but only because I have a need to complete anything I start but it was difficult not to give up. There are too many great games out there and way too many better RPG's to waste your time with a so-so RPG with horrible graphics. I like most of the games I play but this one disappointed. If you really don't care about graphics at all it might be worth a short but I think even without the graphical concern the content is as this review is titled, mediocre.",Mediocre Game,1323043200,3,,
1.0,True,"07 14, 2011",ANH005CALIKDT,B00149NCYW,Daleeria,"I originally bought this game because a friend suggested it to me and it had Square Enix on it. I'm a big Square Enix fan. I've been worshipping their games since they were still Squaresoft. This game disappointed me. Honestly, it too me FOREVER just to get through the first dungeon. And 9/10 times my ""partner"" got stuck on this wall that made it impossible for her to do what I needed her to do. The graphics are beautiful and VERY detailed, but I think the first ""boss"" battle was WAY too difficult to get through. I died 5 times just getting upstairs to the door. I haven't even played through 1/4 of the game and already I've given up. I get easily frustrated after losing so many times. But if you have the patience, and love repeating things OVER and OVER and OVER again (not to mention there's no voice overs during non-cutscene discussions and they move the text along so fast if you're a slow reader like me it's difficult to keep up), then this might be the game for you. Personally I think Square could have done a MUCH better job with this by just tweaking it and not making it so difficult to do everything...",Meh,1310601600,2,{'Edition:': ' Standard'},
1.0,False,"12 12, 2009",A50AQ75STMSI4,B00269QLJ2,Erik J. Meyer,"If you're going to port a console game with a 6-hour single player campaign, it better be a hell of a fun multiplayer.  It ain't.

Greedyvision and IW basically screwed us all with the (purely monetary) decision to drop dedicated servers ($).  The game requires Steam ($) so no resales or trading.  The up front price is ridiculous ($) for any PC game, even a hotly-anticipated, outstanding title (which this one MIGHT have been).  No modding allowed ($) so they can charge for lots of (tiny) expansions.

All the ($) really killed this game.  It is of course easy to get a superior product through piracy, but that is typical these days. Pirated versions allow you to do what the game should have allowed.  The price gouging and crippled features will simply drive more people to find the pirated version, rather than preventing it.  It's called 'killing the golden goose'.  Activision has done a fine job murdering this poor waterfowl through pure avarice and a complete disregard for buyer's wants.

I'd really have difficulty believing anyone that gave this one more than three stars, and would view those reviews with a good bit of suspicion.  I cannot imagine any real FPS fan enjoying this mess.  I felt betrayed and cheated, as did every one of my online buddies.  I'll stick with Battlefield games for now.",Greedyvision and Infinity Fail,1260576000,2,{'Format:': ' Video Game'},
1.0,True,"03 19, 2014",AJZ9HUKESNWFS,B002EECSZ0,Lisa C,"I should have sent this back.  Both items are well made, but must have been made for little people.  The leg strap is too small to fit comfortably around my upper thigh when I am wearing exercise pants and I am not a large person!  Also, the exercise strap is much too short to use it for any overhead press exercises and almost too short for arm curls!",Leg strap is too small and strap is too short,1395187200,,,
1.0,False,"05 26, 2014",A3GDRXJ4DPA9KZ,B003O6EB70,Kennedy,"Bioshock is one of the great video game experiences. Now remove everything that was great about it, add a portentous and dull reading of American history, bad acting, a 10 hour escort mission, and about five thousand trashcans. That's Bioshock Infinite.

I have to admit with frustration that I didn't bother finishing it, despite the money I spent on it. Life is too short and I have GTAV waiting, so I quit after about 6 hours of looting trashcans. I hate quitting games I've started, I always really feel like I have to see it through to the end. But this one took the biscuit.

The game is a drag. It almost never, ever comes together. I was excited exactly once, when I first flew up to Columbia. The first sky hook mission was pretty cool. But everything else? A sorry, empty, atmosphere-less drag. This huge city in the sky? It's empty. No-one's in it. Except the people who want to shoot you. And they're boring.

The game has zero tension, zero suspense, zero atmosphere, zero emotion - believe me, just zero. All those other people who say how great the game is? I'm telling you, they were smoking crack when they played it.

The story telling in this game is pathetically poor. I had been playing for a few hours, when I decided to consult an online walkthrough and discovered that my character had been a detective before going up to Columbia. WHAT? I had no idea! That would explain those annoying black and white flashbacks that pop up occasionally and make no sense

Most soap operas are constructed better and have more believable characters. Booker De Witt? One-note tough-guy dork with furrowed brow. EXACTLY the guy on the cover, by the way.

What about the actual gameplay - the action? The weapons feel generic, and it matters barely a squat what you shoot with, as the enemy AI is so poor that you're basically herding bulletsponges. It bored me senseless. Anyone playing this game for the action is either a masochist or, again, smoking crack.

Apart from spending my time shooting, what else did I do?

What I mainly did in Bioshock Infinite was loot trashcans. Because that's pretty much all there is to do in this amazing alternate reality they cooked up for 150 million bucks. Trashcans that contain food (sometimes), ammo (usually), and coins. There are lots of wooden boxes to search too. And lunch boxes. But mainly trashcans.

If you want a great game about saving a woman, get Dishonoured. That's got some great atmosphere, some great moves out of the first Bioshock playbook, and very compelling gameplay. Or just replay the original Bioshock. It's 7 years old but it's still pretty great.",Bioshock: Infinite Trashcans,1401062400,7,{'Format:': ' Video Game'},
1.0,False,"03 25, 2005",AB82TJ90A0O6Z,B00070EBIK,Joey,"This has got to be the worst game I have ever played. They used false advertising. It said Shooter as the genre. YOU DONT EVEN AIM OR SHOOT THE GUN. You tell the 8 soldiers you control to shoot the bad guys but they cant even aim good and they don't shoot unless you tell them to. Even if they are going to die they don't shoot. You cant even walk around you tell the soldiers where to go. Also on the box it says its based on a army training thing. I thought it would be a action packed shooter because thats what it looked like on the box, but I was wrong. There is no action at all, you just move around while you see a couple bad guys who just wound half your guys. I rented this game from Blockbuster, went home and put it in my PS2, played it for 25 minutes then brought it back to Blockbuster. If all US army soldiers trained on something like this the US army would be the worst army in the world.",This game sucks!!!!!,1111708800,4,{'Platform:': ' PlayStation2'},
1.0,True,"04 20, 2013",A1M5CZYJ5APWNV,B000GPVUMG,renergirl,IT WOULD NOT PLAY IN MY GAME IT KEEPS REJECTION SO THAT'S HOW I  RATED IT I DO NOT NO ABOUT TELLING MY FAMILY AND FRIENDS YET,BAD DISC,1366416000,,"{'Edition:': ' Greatest Hits', 'Platform:': ' Sony PSP'}",
1.0,False,"10 27, 2014",A2WEJWGXBHWED2,B00GGFYHP2,Jonathan Zepeda,This was a huge disappointment I really want to enjoy call of duty as much as I used to back in the day when cod 4 and waw and even mw2 came out those games were the best but ghost is the worst in the series of course if this is your first cod game your going to like it but for people like me that have played the first installments know how lazy this game is the campaign is better thab multiplayer it almost seems as they made this game bad on purpose so later on you can buy the dlc with the better maps thst graphics are awful the game looks gray no colors it was just a lazy development yet it sold well not because of advertisement but the game is terrible man idk if theirs any hope for call of duty I will ne buying the next call of duty I have hope things will get better but the game is terrible..,This was a huge disappointment I really want to enjoy call of duty as ...,1414368000,,,
1.0,False,"01 20, 2013",AHMPKIN3AU24N,B009CL6LA6,Baron,"I think I had these head phones for about 7 months. The analog cables on the wireless dongle stopped working.  What that means is I can not hook it up to a tv. I can still get sound from a PC but since the analog wires are fixed to the dongle I can not use it for the PS3 or Xbox. On the PC the sound is going through USB.

The sound has also started cutting out. The sound will randomly cut out if no one is speaking. For example lets say I'm listening to a podcast or tv show and someone is speaking and there is also music playing. If the person stops speaking all sound also stops including the music. When they start talking all sounds starts up but with annoying popping sound. This is completely random.

The headphones hurt my ears after a short time wearing them. Could be because I have large head. Had to order a special helmet for me when I played football.
However, I have a few other headphones I can wear without a problem.

When headphones are actually working they do sound good. I just wish they lasted a little bit longer.","Analog wires died, headphones dying",1358640000,3,{'Color:': ' Blue'},
1.0,False,"06 2, 2011",A297M70LFW1RAZ,B000035XBQ,wayne aguilar,that is a vear hard game ever single one bart game  snes and gameboy r vear hard  al go back bart vs juggernauts on game boy advance sp,camp deadly,1306972800,,,
1.0,True,"02 12, 2015",A2XFDW9DUFH7NJ,B001LNSMQ4,TheStreetDoc,Didn't fit especially well. Had a cheap feeling. Not too great.,Nothing specolial,1423699200,,,
1.0,False,"07 5, 2017",A2HDQQ3DAKFZYG,B01GKF7T9S,Phob ISS,A disappointing continuation of the original game.  New protagonist but nothing noteworthy here.  As I played along in the game I found myself wondering why I was playing it.  The story is THAT bad.  It provides you no incentive to continue the story line and is kind of boring.  It feels like a bunch of missions thrown on an open world map without a reason to proceed.  The hacking feels clunky to me.  Just did not like it.  You either had all the time you needed to perform a hack or not enough time to perform a hack.  No middle ground here.  Too much or not enough.  Like they are trying to make the hacking the most interesting part of gameplay.  A bad game.  Skip this one.,Very poor effort from Ubisoft,1499212800,,"{'Edition:': ' Standard', 'Platform:': ' PlayStation 4'}",
1.0,False,"11 18, 2016",A2TFGIPJ1NNWD2,B017W175SE,PapaJupe13,"It is much, much worse.
I can not believe how bad the beginning of this game is.  It ruined the game for me.  By the time I got to my first fight, roughly two hours in, I was already ready to trade the game in for something....anything else.
You will spend the first couple hours of this game slowly walking from one part of the map to another.  You get to one side, someone tells you to go to the other.  You get to the other, someone tells you to go back.  You do this over and over.
The mechanics of the game this early are also horrible.  At one point you need to go to a house on cliff and the path to the house is hidden between two houses.  At another point you have to lay 3 stone pieces on a column.  There is no button to lay them, so I had to move the stone pieces around for ever until the game decides the are in the proper place and it lays them for you.  This is maddening when the pieces are perfectly lined up, yet the game will not place them.  And I kept going until I got to that first fight, hoping the game would get better with the battles.  But it doesn't.  The system in antiquated.
But the worst thing about the beginning of the game is that you are stuck with two of the worst characters I have ever encountered in a game as party members.  Keifer is a spoiled brat who is one of the reasons you are running all over the map.  You are basically his slave, disguised as a ""friend"".  He is annoying.  Super annoying.  But he is the most awesome character ever compared to Maribel.  Honestly, if the game let me, I would kill her, reload, kill her again, reload, kill her again.  That seems to me to be the only possible enjoyment this game could offer.  She pops up univited, forces herself into your party, and never misses an opportunity to tell you what a giant jerk you are.  Seriously, it is constant.

Maybe the game eventually turns into this ""charming masterpiece"" so many people claim it to be.  But I read it takes 20+ hours before you can even choose a class.  And honestly, the ""slave"" class you seem to start in got tiresome before the first, simplistic battle.
But I refuse to go deeper.  I refuse to play a game that saddles me with two of the most annoying characters ever.

Dragon Quest VIII is a stone cold classic.  The recent Dragon Quest Builders is crazy fun.  And last years Dragon Quest Warriors is a great mash up of genres.  But this one...UGH.",People will tell you the beginning of this game is horrible.  They are lying.,1479427200,,,
1.0,False,"09 30, 2017",A3NDODIG6XAZAK,B00005V8TW,Rusty Trimble,God-awful game as is it's sequel.  Game cheats and controls suck and the save feature is a joke,Worst RPG ever!,1506729600,,"{'Edition:': ' Standard', 'Platform:': ' PC'}",
1.0,True,"05 24, 2016",A2YJI3OZ17ER9T,B000CNESHQ,JRPGS,"Unacceptable. No return policy either. The game did not work, the battery was defective and this seller should reconsider their advertising before shelfing products being sold. View the images attached and you will see what kind of unacceptable service this seller provides.",Unacceptable by all means.,1464048000,,,"['https://images-na.ssl-images-amazon.com/images/I/81mLCwaV2uL._SY88.jpg', 'https://images-na.ssl-images-amazon.com/images/I/81CFS+LCI3L._SY88.jpg']"
1.0,False,"07 11, 2016",A1VGTLW7MYDQJL,B01DPUVMNU,me,a broken mess still in the alpha stage DO NOT PAY TO TEST A BROKEN GAME FOR THEM,One Star,1468195200,,{'Platform:': ' PlayStation 4'},
1.0,True,"06 20, 2009",A1Z4C92PGS11V5,B001V7QIDE,E. Thompson,"I bought the code and got it instantly so i don't feel there is an issue with Amazon i never had problems with them, But the code has not worked yet and its been over 24 hours now.  I think there is an issue with Xbox for sure but good luck getting them to tell you whats REALLY wrong.",Only worth it if it works,1245456000,4,,
1.0,True,"07 24, 2012",A25JI9SJZ00WV6,B000TGQLYE,Alyssa,"I didn't immediately use this item after purchase because I didn't have more than two players at the time but when I did use it, it wouldn't read more than slot A and B in slot one on the PS2 and in slot B it only read slot A and I tried over and over to try different things to try to get it to work but it's useless for the purpose I bought it for. It has a made in China sticker on the back and feels very light and cheap. I'm not sure if I got a defective one or if this is what to expect from this item. I would have contacted seller but I think I waited too long to make a claim and I just have to deal with it.",Does NOT work properly,1343088000,,,
1.0,False,"12 12, 2012",A59PC3VV6TS8T,B0050SYX8W,eric,"i have halo 4, it's disapointing,& reach is still king of the halo circuit; on firefight i spent many an hour relentlessly killing,& honing my barbarian skills,on the theatre(on xbox's with hd's)u could watch replays of the last few matches,the warthog looks,&sounds bad this time(only 2 warthog driving parts?...c'mon)
,mechs r a cool touch(the 1 good thing,but uber cool),i hate that theres no button(orbital gun lazer designator),no hp(hp with shields were awsome),&i despise the flying parts i thought halo was an fps (not a flight sim, if not flying it's catwalks).343's 1st foray into the halo universe completely failed,but maybe something'll improve on 5-6 if they know how lackluster their result was with 4. i just recently started playing with my brother (just to complete the game, i was stuck on the broadsword/death star level)after my brother got here I got all of the backstory video's transported from his computer to mine(many people[including me]don't have xbox livee, y is knowing the story,& having xbox live a coincidence? i think having xbox live shouldn't be a pre-requisite for story, i know some story is shown in game,but it's very little [i had no idea ,& didn't much care y i had to kill random robots])also the guns look extremely bad(i liked it better with mechanical human weaponry,& psi phi covenant weapons, now everything looks psi phi,& there r no real looking guns) the people that said this abomination was better than reach need their heads examined.
i just read my newest game informer(magazine),& halo 4 was in the top 50 games ""best graphics,& sound""(i concede with excellent graphics ,but when i think of sound, i keep hearing the awful warthog[puma]) halo 5-6'll be just as bad if this is the consencus view of fans(at least i have reach's greatness to fall back on.",don't even consider wasteing money on this,1355270400,,{'Format:': ' Video Game'},
1.0,False,"12 6, 2015",A3JWUUSLIGTBHM,B00XR3YBM0,ChrisInCali,"WWE 2K16 has tons of fluff, options, and settings, but the core gameplay system is a compete displeasure at every turn.  They've taken the skeleton of the much more fun and fast-paced arcade games like Smackdown: HCTP & others which were made YEARS AND YEARS ago and unsuccessfully tried to slow them down and feel more like a simulation game.  It fails at both, and is a terrible Frankensteined in-between system that is just awful.

They're too cheap and lazy to start over with a truly original set of mechanics and animations.  The hit detection is a joke, everyone just floats around in a sludge-like manner.  You don't feel like you are controlling your character and actually wrestling, as much as just executing a set of poor animations.

The stamina system is pretty silly.  You can be dominating a match, but then have to watch your character go through a ridiculous heavy-breathing animation that locks you out of control until their stamina refills.  Often times your opponent, who you just performed a move on, recovers before you do.  Unless of course, you do boring and poorly animated ""resting"" submission holds.  Speaking of which, he submission system in this game is broken, all the way.

So many aspects of this game are tied to ridiculous looking pop-up mini-games and quick-time button presses that don't even make sense with the slowed down ""sim"" feel they are trying to go for.  It's high time the developers made brand new set of animations & mechanics for these games.  If they want to rip off past games, please take from the much better AKI engine games like No Mercy.

You may still find so enjoyment of this game, but I highly recommend not pay more than $35 for it, especially since a lot of content is locked behind the DLC ""season pass"" that they want you to shell out even more money for.",Awful Gameplay,1449360000,4,{'Format:': ' Video Game'},
